company,rankWithinCompany,libraryId,advertiser,started,adLink,screenshot,searchQuery,copy
Casa Interior Design Pte Ltd,1,1423880971945054,Casa Interior Design Pte Ltd,13 Feb 2026,https://www.facebook.com/ads/library/?id=1423880971945054,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1423880971945054.png,,"SG's No.1 Best Price Renovation!!! Unbeatable Renovation Price!!! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Why Pay More On Renovation? Get Your Free Quote Today! Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,2,837694155586014,Casa Interior Design Pte Ltd,6 Oct 2025,https://www.facebook.com/ads/library/?id=837694155586014,ad_screenshots/Casa_Interior_Design_Pte_Ltd_837694155586014.png,,"SG's No.1 Best Price Renovation!! Unbeatable Renovation Price!! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Why Pay More On Renovation? Get Your Free Quote Today! Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,3,1988055195081992,Casa Interior Design Pte Ltd,16 Mar 2026,https://www.facebook.com/ads/library/?id=1988055195081992,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1988055195081992.png,,"🚨DIRECT CONTRACTOR SINGAPORE! Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,4,1863520620874987,Casa Interior Design Pte Ltd,29 Jul 2025,https://www.facebook.com/ads/library/?id=1863520620874987,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1863520620874987.png,,"🔥DIRECT CONTRACTOR SINGAPORE🔥 📌3 ROOM - $6588 📌4 ROOM - $7088 📌5 ROOM - $7588 Why Pay More On Renovation? Get Your Free Quote Today! RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,388 4 ROOM - $26,388 5 ROOM - $28,388 EA FLAT - $30,388 BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6588 4 ROOM - $7088 5 ROOM - $7588 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,5,1472453083950032,Casa Interior Design Pte Ltd,29 Aug 2025,https://www.facebook.com/ads/library/?id=1472453083950032,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1472453083950032.png,,"🔥DIRECT CONTRACTOR SINGAPORE🔥 📌 3room $23,988 📌 4room $26,988 📌 5room $28,988 Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,6,3950915345218587,Casa Interior Design Pte Ltd,3 Aug 2025,https://www.facebook.com/ads/library/?id=3950915345218587,ad_screenshots/Casa_Interior_Design_Pte_Ltd_3950915345218587.png,,"SG's No.1 Best Price Renovation! Unbeatable Renovation Price! Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,7,2268145883623392,Casa Interior Design Pte Ltd,29 Aug 2025,https://www.facebook.com/ads/library/?id=2268145883623392,ad_screenshots/Casa_Interior_Design_Pte_Ltd_2268145883623392.png,,"🔥DIRECT CONTRACTOR SINGAPORE🔥 📌 3room $23,988 📌 4room $26,988 📌 5room $28,988 Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,8,1830141927640939,Casa Interior Design Pte Ltd,29 Jan 2026,https://www.facebook.com/ads/library/?id=1830141927640939,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1830141927640939.png,,"DIRECT CONTRACTOR SINGAPORE! Get Your Free Quote Today! UNBEATABLE RENOVATION PRICE! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Why Pay More On Renovation? Get Your Free Quote Today! Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,9,1864611067502385,Casa Interior Design Pte Ltd,29 Aug 2025,https://www.facebook.com/ads/library/?id=1864611067502385,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1864611067502385.png,,"SG's No.1 Best Price Renovation! Unbeatable Renovation Price! Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
Casa Interior Design Pte Ltd,10,1641945437239331,Casa Interior Design Pte Ltd,31 Jan 2026,https://www.facebook.com/ads/library/?id=1641945437239331,ad_screenshots/Casa_Interior_Design_Pte_Ltd_1641945437239331.png,,"DIRECT CONTRACTOR SINGAPORE !!! 📌 3room $23,988 📌 4room $26,988 📌 5room $28,988 ______ Why Pay More On Renovation? Get Your Free Quote Today! BTO FLAT (items 1 to 26) Complete No Hidden Cost Package (Essential) 3 ROOM - $6988 4 ROOM - $7488 5 ROOM - $7988 RESALE FLAT (items 1 to 53) Complete Makeover Package (Full Hacking) 3 ROOM - $23,988 4 ROOM - $26,988 5 ROOM - $28,988 EA FLAT - $30,988 Schedule An Appointment With Us Today, Call Now 6291 4846 !!!"
